Method,Level,Coverage Rate,Lower Miss,Upper Miss,Sample Repeatition,Monte Carlo Repeatition,Bootstrap Repeatition,Distribution
normal,0.9,0.916,0.032,0.052,250,500,100,Z
basic,0.9,0.882,0.054,0.064,250,500,100,Z
percentile,0.9,0.864,0.044,0.092,250,500,100,Z
normal,0.95,0.946,0.028,0.026,250,500,100,Z
basic,0.95,0.906,0.048,0.046,250,500,100,Z
percentile,0.95,0.922,0.044,0.034,250,500,100,Z
normal,0.99,0.992,0.004,0.004,250,500,100,Z
basic,0.99,0.966,0.018,0.016,250,500,100,Z
percentile,0.99,0.962,0.014,0.024,250,500,100,Z
normal,0.9,0.926,0.034,0.04,250,500,250,Z
basic,0.9,0.898,0.044,0.058,250,500,250,Z
percentile,0.9,0.878,0.062,0.06,250,500,250,Z
normal,0.95,0.938,0.018,0.044,250,500,250,Z
basic,0.95,0.944,0.028,0.028,250,500,250,Z
percentile,0.95,0.938,0.032,0.03,250,500,250,Z
normal,0.99,0.984,0.008,0.008,250,500,250,Z
basic,0.99,0.982,0.01,0.008,250,500,250,Z
percentile,0.99,0.982,0.012,0.006,250,500,250,Z
normal,0.9,0.884,0.056,0.06,250,500,500,Z
basic,0.9,0.894,0.052,0.054,250,500,500,Z
percentile,0.9,0.878,0.054,0.068,250,500,500,Z
normal,0.95,0.952,0.026,0.022,250,500,500,Z
basic,0.95,0.94,0.026,0.034,250,500,500,Z
percentile,0.95,0.958,0.022,0.02,250,500,500,Z
normal,0.99,0.98,0.012,0.008,250,500,500,Z
basic,0.99,0.984,0.006,0.01,250,500,500,Z
percentile,0.99,0.982,0.01,0.008,250,500,500,Z
normal,0.9,0.894,0.054,0.052,250,500,100,chisq(5)
basic,0.9,0.912,0.042,0.046,250,500,100,chisq(5)
percentile,0.9,0.854,0.062,0.084,250,500,100,chisq(5)
normal,0.95,0.926,0.034,0.04,250,500,100,chisq(5)
basic,0.95,0.938,0.018,0.044,250,500,100,chisq(5)
percentile,0.95,0.918,0.032,0.05,250,500,100,chisq(5)
normal,0.99,0.986,0.006,0.008,250,500,100,chisq(5)
basic,0.99,0.958,0.012,0.03,250,500,100,chisq(5)
percentile,0.99,0.978,0.006,0.016,250,500,100,chisq(5)
normal,0.9,0.884,0.052,0.064,250,500,250,chisq(5)
basic,0.9,0.918,0.038,0.044,250,500,250,chisq(5)
percentile,0.9,0.886,0.048,0.066,250,500,250,chisq(5)
normal,0.95,0.958,0.01,0.032,250,500,250,chisq(5)
basic,0.95,0.93,0.018,0.052,250,500,250,chisq(5)
