Method,Level,Coverage Rate,Lower Miss,Upper Miss,Distribution
normal,0.9,0.91,0.025,0.065,Z
basic,0.9,0.905,0.05,0.045,Z
percentile,0.9,0.9,0.03,0.07,Z
normal,0.95,0.93,0.035,0.035,Z
basic,0.95,0.935,0.025,0.04,Z
percentile,0.95,0.88,0.03,0.09,Z
normal,0.99,0.97,0.02,0.01,Z
basic,0.99,0.98,0.01,0.01,Z
percentile,0.99,0.97,0.015,0.015,Z
normal,0.9,0.895,0.055,0.05,chisq(5)
basic,0.9,0.905,0.05,0.045,chisq(5)
percentile,0.9,0.915,0.03,0.055,chisq(5)
normal,0.95,0.96,0.02,0.02,chisq(5)
basic,0.95,0.95,0.02,0.03,chisq(5)
percentile,0.95,0.915,0.05,0.035,chisq(5)
normal,0.99,1,0,0,chisq(5)
basic,0.99,0.96,0.005,0.035,chisq(5)
percentile,0.99,0.965,0.01,0.025,chisq(5)
normal,0.9,0.835,0.075,0.09,chisq(20)
basic,0.9,0.875,0.06,0.065,chisq(20)
percentile,0.9,0.87,0.06,0.07,chisq(20)
normal,0.95,0.935,0.025,0.04,chisq(20)
basic,0.95,0.91,0.04,0.05,chisq(20)
percentile,0.95,0.935,0.035,0.03,chisq(20)
normal,0.99,0.965,0.015,0.02,chisq(20)
basic,0.99,0.95,0.01,0.04,chisq(20)
percentile,0.99,0.965,0.015,0.02,chisq(20)
normal,0.9,0.915,0.03,0.055,t(5)
basic,0.9,0.86,0.065,0.075,t(5)
percentile,0.9,0.895,0.045,0.06,t(5)
normal,0.95,0.95,0.015,0.035,t(5)
basic,0.95,0.925,0.025,0.05,t(5)
percentile,0.95,0.94,0.02,0.04,t(5)
normal,0.99,0.985,0,0.015,t(5)
basic,0.99,0.96,0.015,0.025,t(5)
percentile,0.99,0.97,0.01,0.02,t(5)
normal,0.9,0.935,0.03,0.035,t(20)
basic,0.9,0.895,0.04,0.065,t(20)
percentile,0.9,0.875,0.075,0.05,t(20)
normal,0.95,0.935,0.04,0.025,t(20)
basic,0.95,0.96,0.02,0.02,t(20)
percentile,0.95,0.93,0.04,0.03,t(20)
normal,0.99,0.995,0.005,0,t(20)
basic,0.99,0.985,0.015,0,t(20)
percentile,0.99,0.975,0.015,0.01,t(20)
normal,0.9,0.89,0.035,0.075,"F(5,20)"
basic,0.9,0.9,0.03,0.07,"F(5,20)"
percentile,0.9,0.825,0.085,0.09,"F(5,20)"
normal,0.95,0.93,0.015,0.055,"F(5,20)"
basic,0.95,0.92,0.025,0.055,"F(5,20)"
percentile,0.95,0.95,0.01,0.04,"F(5,20)"
normal,0.99,0.995,0.005,0,"F(5,20)"
basic,0.99,0.975,0,0.025,"F(5,20)"
percentile,0.99,0.97,0.005,0.025,"F(5,20)"
normal,0.9,0.86,0.06,0.08,"F(20, 20)"
basic,0.9,0.86,0.045,0.095,"F(20, 20)"
percentile,0.9,0.835,0.075,0.09,"F(20, 20)"
normal,0.95,0.96,0.015,0.025,"F(20, 20)"
basic,0.95,0.935,0.04,0.025,"F(20, 20)"
percentile,0.95,0.955,0.02,0.025,"F(20, 20)"
normal,0.99,0.98,0,0.02,"F(20, 20)"
basic,0.99,0.985,0,0.015,"F(20, 20)"
percentile,0.99,0.96,0.01,0.03,"F(20, 20)"
